state,county,location,label,X,Y
CentralEquatoria,Juba,Juba Town,Juba Town,31.60869,4.83187
CentralEquatoria,Juba,Juba PoC,Juba PoC 1 & 3,31.6095,4.7979
CentralEquatoria,Juba,Mangala,Mangala,31.7737,5.1979
CentralEquatoria,KajoKeji,Kajo Keji Town,Kajo Keji Town,31.66711,3.87822
CentralEquatoria,KajoKeji,Leikor Centre,Leikor Centre,31.66866,3.8208
CentralEquatoria,Lainya,Lainya Town,Lainya Town,31.09341,4.35609
CentralEquatoria,Morobo,Morobo Town,Morobo Town,30.77536,3.68303
CentralEquatoria,Terekeka,Terekeka Town,Terekeka Town,31.73122,5.42018
CentralEquatoria,Yei,Yei Town,Yei Town,30.67651,4.09233
EasternEquatoria,Budi,Chukudum,Chukudum,33.49754,4.23025
EasternEquatoria,Ikotos,Ikotos Town,Ikotos Town,33.1088,4.07984
EasternEquatoria,KapoetaEast,Narus,Narus,34.17118,4.50694
EasternEquatoria,KapoetaEast,Katodori,Katodori,33.523,4.7115
EasternEquatoria,KapoetaEast,Mogos,Mogos,33.77124,5.26748
EasternEquatoria,KapoetaNorth,Riwoto,Riwoto,33.48876,4.90137
EasternEquatoria,KapoetaSouth,Kapoeta Town,Kapoeta Town,33.59037,4.77314
EasternEquatoria,Lafon,Longiro,Longiro,32.60274,4.86728
EasternEquatoria,Lafon,Imehejek,Imehejek,32.76048,4.76025
EasternEquatoria,Magwi,Magwi Town,Magwi Town,32.29848,4.12746
EasternEquatoria,Magwi,Mugali,Mugali,32.17309,3.59502
EasternEquatoria,Magwi,Nimule,Nimule,32.06025,3.59669
EasternEquatoria,Torit,Torit Town,Torit Town,32.57213,4.41004
Jonglei,Akobo,Akobo Town,Akobo Town,33.00276,7.78834
Jonglei,Akobo,Walgak,Walgak,32.2439,8.1597
Jonglei,Akobo,Dengjock,Dengjock,32.29319,8.17771
Jonglei,Akobo,Nyandit,Nyandit,32.97517,7.62
Jonglei,Ayod,Ayod Town,Ayod Town,31.41,8.13
Jonglei,BorSouth,Bor Town,Bor Town,31.56106,6.21258
Jonglei,BorSouth,Bor_PoC,Bor PoC,31.605605,6.188855
Jonglei,CanalPigi,Diel,Diel,31.31008,9.3762615
Jonglei,CanalPigi,Khorfulus,Khorfulus,31.59224,9.31189
Jonglei,CanalPigi,Kurwai,Kurwai,31.15874,9.24504
Jonglei,Duk,Puktap,Puktap,31.41277,7.45798
Jonglei,Fangak,Juibor,Juibor,30.69636,9.38274
Jonglei,Fangak,NewFangak,New Fangak,31.12631,9.40392
Jonglei,Fangak,Fagwir,Fagwir,30.42447,9.54826
Jonglei,Fangak,OldFangak,Old Fangak,30.88145,9.06758
Jonglei,Nyirol,Lankien,Lankien,32.06165,8.5253
Jonglei,Nyirol,Waat,Waat,32.15183,8.17896
Jonglei,Pibor,Boma,Boma,34.39265,6.17951
Jonglei,Pibor,Pibor Town,Pibor Town,33.12955,6.79993
