"state","county","location","mfs_accessibility_pillar_score","mfs_availability_pillar_score","mfs_affordability_pillar_score","mfs_resilience_pillar_score","mfs_infrastructure_pillar_score","mfs_score"
"CentralEquatoria","Juba","Juba Town",25,22.3529411764706,11.3725490196078,15.3333333333333,7,81.0588235294118
"CentralEquatoria","Juba","Mangala",8.82352941176471,12.0588235294118,6.16830065359477,8,5,40.0506535947712
"CentralEquatoria","Yei","Yei Town",17.6470588235294,17.9411764705882,6.56862745098039,7.66666666666667,6,55.8235294117647
"EasternEquatoria","KapoetaSouth","Kapoeta Town",25,14.1176470588235,6.13562091503268,10.6666666666667,7,62.9199346405229
"EasternEquatoria","Magwi","Nimule",25,20.2941176470588,8.12091503267974,12,4,69.4150326797386
"Jonglei","Akobo","Walgak",22.0588235294118,15.8823529411765,9.2483660130719,12,7,66.1895424836601
"Jonglei","Ayod","Ayod Town",25,8.82352941176471,6.27450980392157,8,7,55.0980392156863
"Jonglei","BorSouth","Bor Town",11.7647058823529,23.8235294117647,4.64052287581699,6.66666666666667,7,53.8954248366013
"Jonglei","Fangak","Fagwir",22.0588235294118,6.76470588235294,4.3218954248366,7,7,47.1454248366013
"Jonglei","Fangak","OldFangak",5.88235294117647,8.82352941176471,2.84313725490196,6,7,30.5490196078431
"Jonglei","Pibor","Pibor Town",13.2352941176471,10.2941176470588,4.2156862745098,11.3333333333333,5,44.078431372549
"Jonglei","TwicEast","Panyagor",16.1764705882353,7.05882352941176,10.1388888888889,8,7,48.3741830065359
"Lakes","Awerial","Kalthok",25,12.3529411764706,6.22549019607843,7.33333333333333,6,56.9117647058823
"Lakes","Awerial","Mingkaman",25,11.4705882352941,6.15196078431373,2.66666666666667,5,50.2892156862745
"Lakes","RumbekCentre","Rumbek Town",19.1176470588235,15.8823529411765,6.69117647058823,12,7,60.6911764705882
"Lakes","RumbekEast","Akot",25,8.52941176470588,3.2843137254902,8,7,51.8137254901961
"Lakes","YirolEast","Nyang",25,6.17647058823529,3.23529411764706,14.6666666666667,7,56.078431372549
"Lakes","YirolWest","Yirol Town",25,4.41176470588235,4.34640522875817,2.66666666666667,7,43.4248366013072
"NorthernBahrelGhazal","AweilCentre","Aweil Town",10.2941176470588,18.5294117647059,2.84313725490196,4,4,39.6666666666667
"NorthernBahrelGhazal","AweilEast","Wanyjok",22.0588235294118,16.7647058823529,11.0212418300654,8.66666666666667,7,65.5114379084967
"NorthernBahrelGhazal","AweilEast","Warawar",20.5882352941176,20.2941176470588,12.1078431372549,10,6,68.9901960784314
"NorthernBahrelGhazal","AweilNorth","Ariath",22.0588235294118,18.8235294117647,5.5718954248366,8,6,60.4542483660131
"NorthernBahrelGhazal","AweilNorth","Gok-Machar",13.2352941176471,14.1176470588235,3.30882352941176,2,4,36.6617647058824
"NorthernBahrelGhazal","AweilSouth","MalekAlel",22.0588235294118,20.2941176470588,10.2205882352941,8,7,67.5735294117647
"NorthernBahrelGhazal","AweilSouth","Watmuok",22.0588235294118,15.8823529411765,10.9722222222222,10.6666666666667,7,66.5800653594771
"NorthernBahrelGhazal","AweilWest","Marial Baai",11.7647058823529,19.4117647058824,3.11274509803922,3.33333333333333,4,41.6225490196078
"NorthernBahrelGhazal","AweilWest","Nyamlel Town",14.7058823529412,17.6470588235294,3.01470588235294,3.33333333333333,4,42.7009803921569
